,disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,fyDeclared,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode
23,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,St. Helena Parish,99091.0
24,1669,0,0,1,1,AK,2006-12-08,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-10-08,2006-10-13T00:00:00.000Z,2015-12-15T00:00:00.000Z,Kenai Peninsula Borough,99122.0
25,1670,0,0,1,1,NY,2006-12-12,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-11-16,2006-11-17T23:59:00.000Z,2018-03-08T23:59:00.000Z,Herkimer County,99043.0
26,1671,0,0,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Chelan County,99007.0
27,1670,0,0,1,1,NY,2006-12-12,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-11-16,2006-11-17T23:59:00.000Z,2018-03-08T23:59:00.000Z,Otsego County,99077.0
28,1671,1,1,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Cowlitz County,99015.0
29,1670,1,1,1,1,NY,2006-12-12,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-11-16,2006-11-17T23:59:00.000Z,2018-03-08T23:59:00.000Z,Chenango County,99017.0
30,1671,1,1,0,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Thurston County,99067.0
31,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Winn Parish,99127.0
32,1669,0,0,1,1,AK,2006-12-08,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-10-08,2006-10-13T00:00:00.000Z,2015-12-15T00:00:00.000Z,Chugach Regional Educational Attendance Area,14430.0
33,1671,0,0,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Jefferson County,99031.0
34,1670,1,1,1,1,NY,2006-12-12,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-11-16,2006-11-17T23:59:00.000Z,2018-03-08T23:59:00.000Z,Broome County,99007.0
35,1670,0,0,1,1,NY,2006-12-12,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-11-16,2006-11-17T23:59:00.000Z,2018-03-08T23:59:00.000Z,Delaware County,99025.0
36,1670,0,0,1,1,NY,2006-12-12,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-11-16,2006-11-17T23:59:00.000Z,2018-03-08T23:59:00.000Z,Montgomery County,99057.0
37,1671,0,0,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Pacific County,99049.0
38,1671,1,1,0,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Clark County,99011.0
39,1671,1,1,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Lewis County,99041.0
40,1670,0,0,1,1,NY,2006-12-12,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-11-16,2006-11-17T23:59:00.000Z,2018-03-08T23:59:00.000Z,Hamilton County,99041.0
41,1670,0,0,1,1,NY,2006-12-12,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-11-16,2006-11-17T23:59:00.000Z,2018-03-08T23:59:00.000Z,Sullivan County,99105.0
42,1671,1,1,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Grays Harbor County,99027.0
43,1671,1,1,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Pierce County,99053.0
44,1669,0,0,1,1,AK,2006-12-08,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-10-08,2006-10-13T00:00:00.000Z,2015-12-15T00:00:00.000Z,Copper River Regional Educational Attendance Area,17365.0
45,1670,0,0,1,1,NY,2006-12-12,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-11-16,2006-11-17T23:59:00.000Z,2018-03-08T23:59:00.000Z,Tioga County,99107.0
46,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Marion County,99127.0
47,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Custer County,99041.0
48,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Callaway County,99027.0
49,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Boone County,99019.0
50,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Hitchcock County,99087.0
51,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Butler County,99023.0
52,1672,0,0,1,1,OR,2006-12-29,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-05,2006-11-08T00:00:00.000Z,2014-11-25T23:59:00.000Z,Hood River County,99027.0
53,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Buffalo County,99019.0
54,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Adams County,99001.0
55,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Howard County,99093.0
56,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Dawson County,99047.0
57,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Furnas County,99065.0
58,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Reynolds County,99179.0
59,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Keya Paha County,99103.0
60,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Lincoln County,99111.0
61,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Washington County,99221.0
62,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Franklin County,99061.0
63,1671,1,1,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Skamania County,99059.0
64,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Boone County,99011.0
65,1671,1,1,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Wahkiakum County,99069.0
66,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Hall County,99079.0
67,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Chase County,99029.0
68,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Hamilton County,99081.0
69,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Kearney County,99099.0
70,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Harlan County,99083.0
71,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Cole County,99051.0
72,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,St. Francois County,99187.0
73,1672,0,0,1,1,OR,2006-12-29,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-05,2006-11-08T00:00:00.000Z,2014-11-25T23:59:00.000Z,Clatsop County,99007.0
74,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Cedar County,99027.0
75,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Garden County,99069.0
76,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Keith County,99101.0
77,1672,0,0,1,1,OR,2006-12-29,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-05,2006-11-08T00:00:00.000Z,2014-11-25T23:59:00.000Z,Tillamook County,99057.0
78,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Antelope County,99003.0
79,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Clay County,99035.0
80,1671,1,1,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Snohomish County,99061.0
81,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,St. Louis,65000.0
82,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Hayes County,99085.0
83,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Ste. Genevieve County,99186.0
84,1672,0,0,1,1,OR,2006-12-29,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-05,2006-11-08T00:00:00.000Z,2014-11-25T23:59:00.000Z,Lincoln County,99041.0
85,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,St. Louis County,99189.0
86,1671,1,1,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,Skagit County,99057.0
87,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Iron County,99093.0
88,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Dixon County,99051.0
89,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Camden County,99029.0
90,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Greeley County,99077.0
91,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Dundy County,99057.0
92,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Miller County,99131.0
93,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Knox County,99107.0
94,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Brown County,99017.0
95,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Gosper County,99073.0
96,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Kimball County,99105.0
97,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Deuel County,99049.0
98,1671,1,1,1,1,WA,2006-12-12,2007,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2006-11-02,2006-11-11T00:00:00.000Z,,King County,99033.0
99,1673,0,0,1,1,MO,2006-12-29,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-11-30,2006-12-02T00:00:00.000Z,2013-10-30T00:00:00.000Z,Greene County,99077.0
100,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Frontier County,99063.0
101,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Holt County,99089.0
102,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Cheyenne County,99033.0
103,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Garfield County,99071.0
104,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Blaine County,99009.0
105,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Fillmore County,99059.0
106,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Nance County,99125.0
107,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Wheeler County,99183.0
108,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Platte County,99141.0
109,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Red Willow County,99145.0
110,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Madison County,99119.0
111,1675,0,0,1,1,KS,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORM,2006-12-28,2006-12-31T00:00:00.000Z,2016-10-16T23:59:00.000Z,Cheyenne County,99023.0
112,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Perkins County,99135.0
113,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Sherman County,99163.0
114,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Valley County,99175.0
115,1675,0,0,1,1,KS,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORM,2006-12-28,2006-12-31T00:00:00.000Z,2016-10-16T23:59:00.000Z,Edwards County,99047.0
116,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Nuckolls County,99129.0
117,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Loup County,99115.0
118,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Webster County,99181.0
119,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Morrill County,99123.0
120,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Polk County,99143.0
121,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,York County,99185.0
122,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Stanton County,99167.0
123,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Pierce County,99139.0
124,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Seward County,99159.0
125,1674,0,0,1,1,NE,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORMS,2006-12-19,2007-01-01T00:00:00.000Z,2015-04-01T23:59:00.000Z,Phelps County,99137.0
126,1675,0,0,1,1,KS,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORM,2006-12-28,2006-12-31T00:00:00.000Z,2016-10-16T23:59:00.000Z,Ellis County,99051.0
127,1675,0,0,1,1,KS,2007-01-07,2007,DR,Severe Storm(s),SEVERE WINTER STORM,2006-12-28,2006-12-31T00:00:00.000Z,2016-10-16T23:59:00.000Z,Decatur County,99039.0
